Region,TotalSales
Western Europe,2947.20513331552
Central America,2832.87022904352
South America,1480.448113457
Northern Europe,1077.92071928727
Southern Europe,1023.96453338462
Oceania,1008.3321464832
Southeast Asia,966.252619514056
Caribbean,825.513797825504
West of USA ,785.711913179517
South Asia,776.844348204195
Eastern Asia,743.204388824942
East of USA,685.559424733426
West Asia,587.338831455303
US Center ,575.68076794644
South of  USA ,392.893939264331
Eastern Europe,387.135220149267
West Africa,363.977418822983
North Africa,317.377699769373
East Africa,188.118390274544
Central Africa,163.632327176627
Southern Africa,114.126368455234
Canada,93.4309894089869
Central Asia,54.9202409741511
